stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_stationroutes,
2706,2706,"South Campus Transit Centre Fort Edmonton Park",,  53.502765,-113.528963,,,0,104:105:595:596,
2707,2707,"South Campus Transit Centre Fort Edmonton Park",,  53.502548,-113.528950,,,0,138:139,
2709,2709,"South Campus Transit Centre Fort Edmonton Park",,  53.502482,-113.528793,,,0,55:738,
2710,2710,"South Campus Transit Centre Fort Edmonton Park",,  53.502698,-113.528812,,,0,50:54,
2711,2711,"South Campus Transit Centre Fort Edmonton Park",,  53.502927,-113.528794,,,0,43,
2712,2712,"South Campus Transit Centre Fort Edmonton Park",,  53.503106,-113.528786,,,0,53,
2713,2713,"South Campus Transit Centre Fort Edmonton Park",,  53.503276,-113.528786,,,0,106,
2714,2714,"South Campus Transit Centre Fort Edmonton Park",,  53.503524,-113.528778,,,0,4,
2720,2720,"109 Street & 70 Avenue",,  53.506898,-113.511866,,,0,9:51:739,
2722,2722,"105 Street & 82 Avenue",,  53.517991,-113.499734,,,0,4:7:54:57:94:327,
2723,2723,"102 Street & 82 Avenue",,  53.518162,-113.494243,,,0,4:7:57:94,
2724,2724,"107 Street & 82 Avenue",,  53.517996,-113.505763,,,0,4:7:54:57:94:327,
2725,2725,"104 Street & 76 Avenue",,  53.512403,-113.498355,,,0,52:54:327,
2726,2726,"109 Street & 80 Avenue",,  53.515805,-113.512201,,,0,9:51:313,
2727,2727,"109 Street & 68 Avenue",,  53.504235,-113.512129,,,0,9:51,
2728,2728,"Calgary Trail NB & 60 Avenue",,  53.497364,-113.491879,,,0,80,
2729,2729,"97 Street & 62 Avenue",,  53.498595,-113.479285,,,0,80,
2730,2730,"97 Street & 60 Avenue",,  53.496740,-113.479499,,,0,80,
2731,2731,"106 Street & 73 Avenue",,  53.509683,-113.504346,,,0,52:54,
2732,2732,"104 Street & 63 Avenue",,  53.499382,-113.497777,,,0,80,
2733,2733,"111 Street & 82 Avenue",,  53.518212,-113.518135,,,0,4:7:51:54:57:94:313:739,
2734,2734,"99 Street & 62 Avenue",,  53.498777,-113.486054,,,0,70,
2735,2735,"106 Street & 68 Avenue",,  53.504664,-113.504503,,,0,52:54,
2736,2736,"107 Street & 51 Avenue",,  53.487917,-113.508019,,,0,52,
2737,2737,"Calgary Trail SB & 53 Avenue",,  53.489818,-113.495012,,,0,80,
2738,2738,"75 Street & Roper Road",,  53.491839,-113.442830,,,0,33:69,
2739,2739,"106 Street & 67 Avenue",,  53.503722,-113.504354,,,0,52:54,
2740,2740,"87 Street & 58 Avenue",,  53.493979,-113.459009,,,0,80,
2741,2741,"106 Street & 63 Avenue",,  53.500592,-113.504339,,,0,52:54,
2742,2742,"109 Street & 87 Avenue",,  53.522494,-113.511877,,,0,9,
2743,2743,"97 Street & 63 Avenue",,  53.499440,-113.479478,,,0,80,
2744,2744,"109 Street & 84 Avenue",,  53.519765,-113.512222,,,0,9,
2745,2745,"109 Street & 65 Avenue",,  53.502333,-113.511834,,,0,9:51:739,
2746,2746,"99 Street & 76 Avenue",,  53.512009,-113.486300,,,0,70,
2747,2747,"Scona Road & 94 Avenue",,  53.530838,-113.485695,,,0,7:57:70:81:87,
2748,2748,"114 Street & 82 Avenue",,  53.518364,-113.525358,,,0,4:106,
2749,2749,"114 Street & 87 Avenue",,  53.522986,-113.526816,,,0,128:130,
2750,2750,"112 Street & 76 Avenue",,  53.512208,-113.519626,,,0,327,
2751,2751,"50 Street & 55 Avenue",,  53.492277,-113.418023,,,0,68:72:82:370,
2752,2752,"112 Street & 82 Avenue",,  53.518367,-113.520677,,,0,4:7:51:54:57:94:313:739,
2753,2753,"99 Street & 65 Avenue",,  53.501555,-113.486388,,,0,70,
2754,2754,"109 Street & 88 Avenue",,  53.523417,-113.512230,,,0,9,
2755,2755,"109 Street & 67 Avenue",,  53.504137,-113.511788,,,0,9:51:739,
2756,2756,"94 Street & 58 Avenue",,  53.493952,-113.473040,,,0,80,
2758,2758,"112 Street & 76 Avenue",,  53.512310,-113.520498,,,0,327,
2759,2759,"105A Street & 76 Avenue",,  53.512330,-113.502820,,,0,52:54:327,
2760,2760,"109 Street & University Avenue",,  53.513837,-113.512186,,,0,9:51,
2761,2761,"109 Street & 80 Avenue",,  53.516317,-113.511927,,,0,9:313:327:739,
2762,2762,"105 Street & 55 Avenue",,  53.492231,-113.499775,,,0,52,
2763,2763,"96 Street & 58 Avenue",,  53.493954,-113.477550,,,0,80,
2764,2764,"114 Street & 82 Avenue",,  53.517706,-113.525664,,,0,4:106:313:926,
2765,2765,"118 Street & 73 Avenue",,  53.509412,-113.534714,,,0,327,
